trial,pnl,maxdd,pnl_dd,trades,position_pct,max_concurrent,buy_cooldown,volatility_gate,rsi_buy,take_profit,trailing_stop,stop_loss,sell_cooldown,time_in_market,time_flat,win_rate,avg_trade_ret,blocks_traded
29,81.02227613141213,0.07557178325205005,71.83777929582588,484,0.08237108384190477,1,10,0.83931736605987,34,0.027982673797176484,0.023136268206323956,0.06106408592835126,11,0.3115530303030303,0.6884469696969697,0.4959349593495935,0.0039687574046344655,22
30,-131.29842450895023,0.2435316577376524,-83.33544004044023,1099,0.1078719480883468,2,7,1.0599076359070105,39,0.020069243805075153,0.019238861821188637,0.0596851466733823,9,0.4191287878787879,0.5808712121212121,0.4444444444444444,-0.002473764290303412,22
31,182.48939964255123,0.09356515421309441,156.87742641283575,1798,0.07060099435067962,3,5,1.1381158826304227,42,0.034675618834396606,0.011815509332120746,0.05499888755421714,13,0.5736742424242425,0.4263257575757575,0.4175824175824176,0.0028253908232058417,22
32,144.98118980002278,0.09230770272234223,124.9068689474348,1819,0.06697506867501099,3,5,1.1475351333735277,42,0.034622486208763945,0.01011543865858987,0.05361936147888042,13,0.5478535353535353,0.4521464646464647,0.41956521739130437,0.0023408200737446766,22
33,-1.9310990679274482,0.20213767700027985,-1.3455772484550583,1846,0.07850826621544763,3,5,1.1466736936315733,42,0.03100073742106226,0.006105799225315654,0.05330657411922576,14,0.5111742424242425,0.4888257575757575,0.4184549356223176,0.00012202370677524986,22
34,40.2752683880251,0.11731523482045414,33.187914535428135,1598,0.06977986655729249,3,5,1.0179770755711492,40,0.01356537505820229,0.010655398191503431,0.06792233856365147,11,0.4150252525252525,0.5849747474747475,0.4614427860696517,0.0008369417169156961,22
35,-55.97313389355281,0.15416089711680203,-43.02983109034934,1481,0.04775680322169168,3,4,1.19859193987029,39,0.0349185759353316,0.011625299996110137,0.05382665183182652,15,0.4961489898989899,0.5038510101010101,0.440745672436751,-0.0015197434915170628,22
36,-17.73079749052374,0.12400650762171639,-14.432696079302128,1148,0.0983469894652824,2,5,1.0736794009648236,37,0.029195574701002206,0.00929525043514665,0.04582839825944292,8,0.31452020202020203,0.685479797979798,0.4068965517241379,-0.00025258342144619903,22
37,-10.16033598495983,0.17894984967941063,-7.433050089158527,1641,0.06534010729051368,3,6,1.1408541876755538,42,0.031826264414215606,0.016049084772115942,0.0753860156521202,10,0.5341540404040404,0.46584595959595965,0.40481927710843374,-0.0001846239105939385,22
38,40.98124110614367,0.14847112998595835,31.854444343259434,1466,0.09113127136402374,2,4,1.0044874740786567,41,0.03350143570091933,0.012647963215930733,0.03893556108016052,13,0.5515782828282828,0.4484217171717172,0.40350877192982454,0.0006745769906232233,22
39,59.55260145361922,0.06716656241390118,53.55268616995217,599,0.08167177716724952,3,10,1.0837047850631258,34,0.026457840295073667,0.00674534863538063,0.06135041765944241,14,0.23308080808080808,0.7669191919191919,0.4768211920529801,0.0025010890625230763,22
40,-32.08394248053639,0.07161254022002495,-28.637523548579825,1183,0.058063228210591525,2,6,0.9166855814558514,38,0.015545205757368055,0.009137343301396417,0.051854121815345586,6,0.2861111111111111,0.7138888888888889,0.44798657718120805,-0.0009250744840658445,22
41,101.68634454116773,0.10229075426092527,86.08398521943917,877,0.06263032506853174,1,7,0.7146811419672888,45,0.033726266839472364,0.025801676244126714,0.054583705642644476,13,0.6818181818181818,0.31818181818181823,0.44819819819819817,0.0035972058060025768,22
42,50.366401262982436,0.10902808868200364,42.12937256774169,848,0.06714459272802362,1,7,0.8698993939934898,44,0.033772191260286175,0.026106570566420774,0.04860059085759012,12,0.6530934343434344,0.34690656565656564,0.4744186046511628,0.001819785590138867,22
43,85.76706674982165,0.09703565242264,73.28337183215406,1573,0.040869841638648666,3,8,1.0325894304391305,45,0.034944714959678276,0.028066419558640615,0.05567409750942485,13,0.6933080808080808,0.3066919191919192,0.4555694618272841,0.002692473355191403,22
44,-73.55126928013624,0.1315712952569018,-59.03541562967119,485,0.07313862464802098,3,5,0.6880716029163895,30,0.03143345184613016,0.0244651902317472,0.05935640252142959,14,0.2604166666666667,0.7395833333333333,0.46153846153846156,-0.004272755276286544,22
45,3.0985511769047207,0.09568413591224256,2.653827888991735,936,0.06281548902834963,1,6,1.1709438758867017,42,0.03345761669067302,0.00821601048302913,0.04347563078390532,16,0.5374368686868687,0.4625631313131313,0.4397463002114165,0.00018875495669747028,22
46,107.59037605618073,0.08462498298897536,93.9331254408831,1579,0.05063168865001938,3,7,0.7457099775647061,43,0.029169968551792318,0.017893998554499572,0.06668423258704673,13,0.6103535353535353,0.3896464646464647,0.41448189762796506,0.0026015084205387607,22
47,-7.951998052753424,0.09095954183660726,-6.867032903407358,1152,0.05343676933207034,3,10,0.7672019304594944,41,0.02911541911008661,0.017679413068921734,0.06671940196845394,12,0.5166035353535353,0.4833964646464647,0.41337907375643224,-0.00022587968434217614,22
48,-8.600751900565683,0.11072070307539494,-7.172329954454176,2185,0.03607723201600421,3,4,1.1196030483683592,43,0.027236811910832354,0.01012995303567267,0.03135624623039259,11,0.5505681818181818,0.4494318181818182,0.4069028156221617,-0.00018862398810799767,22
49,-39.22815897896203,0.15741558215197404,-29.965473755326784,1147,0.08423555085111725,3,9,0.9383317095433045,40,0.023469613866173994,0.015992256961899834,0.07405420786594485,15,0.5083964646464646,0.4916035353535354,0.4440619621342513,-0.0007346394093703059,22
50,-69.37410959343833,0.14044683258955248,-54.75904865925998,1097,0.07493449647310042,2,12,0.8994576090422861,42,0.02476114592190134,0.01295502234359244,0.06668021568928642,10,0.4549242424242424,0.5450757575757577,0.40325497287522605,-0.0016608614238577833,22
51,191.56454419322017,0.11042083526090674,159.83546872893479,1617,0.057785742685281714,3,7,0.6738917830673598,44,0.030000547440524536,0.025838700618137686,0.06158809470585719,13,0.6577651515151515,0.34223484848484853,0.46219512195121953,0.003945583502956939,22
52,56.64618845467999,0.13992774712545208,44.75662815411924,1629,0.049883546163383426,3,7,0.6484653383181729,44,0.030195615103311785,0.0201905774640802,0.06286907774496836,14,0.6499368686868687,0.35006313131313127,0.437726723095526,0.0015097128051127482,22
53,21.861943886041217,0.09857374593106616,18.62942333276844,1448,0.04331488895252542,3,8,0.6603565762582703,43,0.028986425385406127,0.023839971372288958,0.058036027342557674,13,0.6209595959595959,0.37904040404040407,0.4421768707482993,0.0006923361477304216,22
54,-27.983063142753963,0.192264745030021,-19.91282839230311,1514,0.05632299850317979,3,5,0.6101212295506282,41,0.03151270714453865,0.02254908641624883,0.051326133488686046,12,0.585290404040404,0.414709595959596,0.43302990897269183,-0.0005431030131045283,22
55,38.74066953163697,0.052202759044713054,35.70711477645062,1674,0.02302159345667356,3,6,0.717996581040828,43,0.02132308920140668,0.02061257040409334,0.07230541766813758,13,0.5945075757575757,0.40549242424242427,0.4563679245283019,0.001983479383343678,22
56,12.555692312277301,0.03766825897257109,11.846265707879128,381,0.050046286982686206,3,15,0.7637596495086563,31,0.03016256574957219,0.028183621235420224,0.06230951158118614,11,0.25037878787878787,0.7496212121212121,0.5025906735751295,0.0012964819273056187,22
57,77.29164297872558,0.13891753934440731,61.185895696989085,1739,0.06035354290155455,3,7,0.6998241150913644,45,0.03302889453153276,0.018680114979670266,0.06545569471381193,14,0.6767045454545455,0.3232954545454545,0.4279228149829739,0.0015179384423933528,22
58,38.88499423613098,0.13939970681546487,30.754159042074427,1256,0.06814354848037271,3,9,1.1263763024871756,42,0.03177454483925224,0.029212800903687972,0.02129794367613881,13,0.6104166666666667,0.3895833333333333,0.4225352112676056,0.0009915735733252121,22
59,-13.870477664837153,0.23451212441549618,-8.991284889079177,1301,0.08784761534710352,2,8,0.7371981772522359,44,0.027068983428896878,0.026561468909896312,0.056811763460315454,12,0.6297348484848485,0.3702651515151515,0.4696969696969697,-0.00012022735130659243,22
60,-41.02154986718631,0.2615430941559663,-24.92819524818054,1876,0.07894938789934502,3,4,1.1677934665898333,43,0.008899316305712295,0.02485954658411281,0.06828347914168983,15,0.5696338383838384,0.4303661616161616,0.5437302423603794,-0.0004009385773289474,22
61,175.5116757075241,0.11483995275632553,145.27804688787072,1718,0.062327909177215424,3,7,0.7179077742336262,45,0.033858591592723045,0.023717057646284772,0.05526198344615182,13,0.6859217171717171,0.3140782828282829,0.43037974683544306,0.0031405056653016168,22
62,80.64753807433362,0.1724592776276992,59.78491383620571,1773,0.05997775925186171,3,6,0.6222265423384239,44,0.03432907480496813,0.02122295917802099,0.06061469015666391,12,0.6511994949494949,0.3488005050505051,0.43875278396436523,0.0017392437714475097,22
63,68.42435734865626,0.2480723710150421,42.963068504663745,1885,0.07183540224514116,3,5,0.6753268225270104,45,0.03275195363155249,0.023594327345997642,0.05845624826866952,14,0.6978535353535353,0.30214646464646466,0.4399164054336468,0.0012341381017017096,22
64,132.73029933372595,0.12030037437039676,108.77904228351287,1529,0.06452007738970593,3,7,0.8120442950798187,43,0.03425848646099741,0.02247398591233848,0.050084751220654505,13,0.6345328282828283,0.3654671717171717,0.4272844272844273,0.002649566663281943,22
65,88.92823418231364,0.16330775314831847,67.14422900867194,1563,0.07690300499676711,3,6,0.796703657327183,42,0.034269543328980204,0.021934284228238395,0.05056262980360986,11,0.5909090909090909,0.40909090909090906,0.4090909090909091,0.0014780088313051838,22
66,150.79670944794248,0.1298517768269004,121.42487845574473,1865,0.06341900011036171,3,5,1.1927640370210875,44,0.03492957511691362,0.022445796619627874,0.04790374170990166,13,0.6712752525252526,0.32872474747474745,0.4269067796610169,0.0026107228751618837,22
67,-12.82493150837297,0.21498725507557492,-8.689136276096933,1457,0.06929953967254224,2,5,1.1948334262020737,44,0.031980900075083994,0.024534809739729938,0.03515223255637382,12,0.6615530303030303,0.33844696969696975,0.45121951219512196,-0.00019452304407864893,22
68,123.93531325773938,0.31222460894920745,65.89183118239659,1809,0.09523652476329801,3,5,1.1532962824228652,45,0.03492521678433698,0.027370023277415688,0.04072913170365239,14,0.7127525252525253,0.2872474747474747,0.4531590413943355,0.0017379120771059684,22
69,-110.92361121207455,0.3020247400873691,-60.67109894325574,1561,0.07319758675750532,3,4,1.0955198037228633,41,0.033067590564822384,0.023212866700414888,0.047350422401261756,16,0.6035984848484849,0.3964015151515151,0.41530740276035133,-0.0020404281651899623,22
70,-38.63952132931445,0.15735815735489322,-29.519155513130425,1084,0.05682145699498119,2,6,1.136065165332106,40,0.030667246302378548,0.02519889126987277,0.052655108080207874,15,0.5570075757575758,0.44299242424242424,0.45569620253164556,-0.0011602321535157346,22
71,182.91547936085203,0.13020795948277086,147.1899023727679,1649,0.0647392444484944,3,7,1.1627475605114255,44,0.033868695017622436,0.022228616173086482,0.054954395662634305,13,0.6606691919191919,0.33933080808080807,0.4359281437125748,0.0033272939100946575,22
72,41.7359259982054,0.20489639059297216,28.90861510557389,1491,0.06264424219519474,3,8,1.1565480279455884,44,0.03394576046186956,0.0242528228174787,0.055586545641730524,14,0.6620580808080808,0.3379419191919192,0.44591029023746703,0.0011115766040062224,22
73,211.7420785152558,0.13560490111563994,168.6721830866338,1998,0.06603380606857927,3,5,1.1880328922553758,45,0.03302230366398561,0.020864741811804702,0.054775728153526854,13,0.6879419191919192,0.31205808080808084,0.41543026706231456,0.0031073612265463224,22
74,64.45990071708093,0.21283405665270605,43.881007475510415,1931,0.06703121071697038,3,6,1.0623736570014686,45,0.03215594509170706,0.018588173888459684,0.054997646264925176,12,0.6631944444444444,0.3368055555555556,0.4344262295081967,0.0012299128483376515,22
75,349.97709511959124,0.17567980158138063,257.75123517663457,2123,0.08444801111822013,3,4,1.1764491011668894,45,0.033215774554690054,0.02091634483875559,0.05702822594197733,13,0.6901515151515152,0.3098484848484848,0.4223255813953488,0.003748452673391398,22
76,-66.46429836486186,0.24152874952831405,-42.38474005634908,2442,0.08404859386694565,3,4,1.1030664460471464,45,0.03308318110190245,0.02105779178890826,0.058995110706693735,4,0.6106060606060606,0.3893939393939394,0.398538961038961,-0.0006815387392390361,22
77,58.67904140336691,0.3012875784898269,32.16014196457985,2089,0.08903460093474035,3,4,1.18177169588981,45,0.03116893790955702,0.02057678540909868,0.05727107471459924,14,0.6888888888888889,0.3111111111111111,0.4281663516068053,0.0008046645568786562,22
78,178.31143877791237,0.15373999230427216,137.19103993969244,1566,0.08058471593476736,3,8,1.158301115565903,44,0.03249138924211503,0.01968451927269492,0.06296740406691599,13,0.640719696969697,0.359280303030303,0.43702770780856426,0.0028409874139138738,22
79,81.87108438847281,0.16329007879804425,61.81798065686023,1507,0.0808337708900345,3,9,1.1731217771102567,44,0.032395729119109436,0.0192786821628,0.06359635511232842,12,0.634280303030303,0.365719696969697,0.4325032765399738,0.0014123439815039588,22
