TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.25 | OpenNotes:0 Coin:0.0000
TopBottom:0.78 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.34 | OpenNotes:0 Coin:0.0000
TopBottom:0.80 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.40 | OpenNotes:0 Coin:0.0000
TopBottom:0.82 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.45 | OpenNotes:0 Coin:0.0000
TopBottom:0.84 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.51 | OpenNotes:0 Coin:0.0000
TopBottom:0.86 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.59 | OpenNotes:0 Coin:0.0000
TopBottom:0.86 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.59 | OpenNotes:0 Coin:0.0000
TopBottom:0.86 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.58 | OpenNotes:0 Coin:0.0000
TopBottom:0.86 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.58 | OpenNotes:0 Coin:0.0000
TopBottom:0.84 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.53 | OpenNotes:0 Coin:0.0000
TopBottom:0.85 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.56 | OpenNotes:0 Coin:0.0000
TopBottom:0.85 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.55 | OpenNotes:0 Coin:0.0000
TopBottom:0.83 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.49 | OpenNotes:0 Coin:0.0000
TopBottom:0.83 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.50 | OpenNotes:0 Coin:0.0000
TopBottom:0.82 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.46 | OpenNotes:0 Coin:0.0000
TopBottom:0.81 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.43 | OpenNotes:0 Coin:0.0000
TopBottom:0.82 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.46 | OpenNotes:0 Coin:0.0000
